AAAA;MM;MOIS;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1945;1;Janvier;BREST-GUIPAVAS;;11.2;1.0;0.0;129.2;16.4;;brest
1945;2;Février;BREST-GUIPAVAS;;14.2;8.8;0.0;126.6;22.2;;brest
1945;3;Mars;BREST-GUIPAVAS;;20.6;7.2;0.0;20.9;5.2;;brest
1945;4;Avril;BREST-GUIPAVAS;;26.5;8.5;2.0;50.5;12.7;;brest
1945;5;Mai;BREST-GUIPAVAS;;24.8;8.6;0.0;70.7;16.1;;brest
1945;6;Juin;BREST-GUIPAVAS;;28.7;15.0;1.0;57.0;23.3;;brest
1945;7;Juillet;BREST-GUIPAVAS;;27.3;16.4;1.0;50.2;26.9;;brest
1945;8;Août;BREST-GUIPAVAS;;26.6;16.0;1.0;143.9;31.6;;brest
1945;9;Septembre;BREST-GUIPAVAS;;24.0;15.2;0.0;53.2;9.4;;brest
1945;10;Octobre;BREST-GUIPAVAS;;25.2;14.2;1.0;93.2;22.4;;brest
1945;11;Novembre;BREST-GUIPAVAS;;17.8;6.6;0.0;16.2;5.5;;brest
1945;12;Décembre;BREST-GUIPAVAS;;14.2;4.8;0.0;197.8;29.4;;brest
1946;1;Janvier;BREST-GUIPAVAS;;13.8;-1.0;0.0;141.1;19.3;;brest
1946;2;Février;BREST-GUIPAVAS;;12.8;4.8;0.0;65.3;14.8;;brest
1946;3;Mars;BREST-GUIPAVAS;;18.9;3.6;0.0;61.2;17.1;;brest
1946;4;Avril;BREST-GUIPAVAS;;21.5;10.2;0.0;69.8;22.3;;brest
1946;5;Mai;BREST-GUIPAVAS;;19.0;9.4;0.0;119.5;19.2;;brest
1946;6;Juin;BREST-GUIPAVAS;;19.8;13.0;0.0;61.3;12.2;;brest
1946;7;Juillet;BREST-GUIPAVAS;;26.2;16.2;2.0;36.7;13.1;;brest
1946;8;Août;BREST-GUIPAVAS;;23.0;15.4;0.0;152.1;54.6;;brest
1946;9;Septembre;BREST-GUIPAVAS;;26.4;15.3;1.0;89.2;31.5;;brest
1946;10;Octobre;BREST-GUIPAVAS;;20.8;10.8;0.0;55.8;17.0;;brest
1946;11;Novembre;BREST-GUIPAVAS;;18.8;9.5;0.0;189.1;43.8;;brest
1946;12;Décembre;BREST-GUIPAVAS;;12.2;2.4;0.0;151.5;30.8;;brest
1947;1;Janvier;BREST-GUIPAVAS;;14.0;-2.2;0.0;106.6;18.3;;brest
1947;2;Février;BREST-GUIPAVAS;;11.4;0.0;0.0;70.5;14.1;;brest
1947;3;Mars;BREST-GUIPAVAS;;15.8;2.8;0.0;209.1;47.1;;brest
1947;4;Avril;BREST-GUIPAVAS;;22.4;9.2;0.0;93.8;30.6;;brest
1947;5;Mai;BREST-GUIPAVAS;;28.6;7.0;1.0;79.5;18.6;;brest
1947;6;Juin;BREST-GUIPAVAS;;24.2;12.8;0.0;119.4;20.4;;brest
1947;7;Juillet;BREST-GUIPAVAS;;28.8;14.0;4.0;64.7;17.6;;brest
